context,target,split
"appearance , but my late dearly",after,train
", but after late dearly bought",my,train
but after my dearly bought experience,late,train
"after my late bought experience ,",dearly,train
"my late dearly experience , i",bought,train
"late dearly bought , i dared",experience,train
dearly bought experience i dared not,",",train
"bought experience , dared not enter",i,train
"experience , i not enter it",dared,train
", i dared enter it .",not,train
i dared not it . ,enter,train
dared not enter . ,it,train
not enter it ,.,train
enter it .,,train
place of refuge,my,train
my of refuge was,place,train
my place refuge was constructed,of,train
my place of was constructed of,refuge,train
place of refuge constructed of wood,was,train
"of refuge was of wood ,",constructed,train
"refuge was constructed wood , but",of,train
"was constructed of , but so",wood,train
constructed of wood but so low,",",train
"of wood , so low that",but,train
"wood , but low that i",so,train
", but so that i could",low,train
but so low i could with,that,train
so low that could with difficulty,i,train
low that i with difficulty sit,could,train
that i could difficulty sit upright,with,train
i could with sit upright in,difficulty,train
could with difficulty upright in it,sit,train
with difficulty sit in it .,upright,train
difficulty sit upright it . ,in,train
sit upright in . ,it,train
upright in it ,.,train
in it .,,train
"wood , however",no,train
"no , however ,",wood,train
"no wood however , was",",",train
"no wood , , was placed",however,train
"wood , however was placed on",",",train
", however , placed on the",was,train
"however , was on the earth",placed,train
", was placed the earth ,",on,train
"was placed on earth , which",the,train
"placed on the , which formed",earth,train
on the earth which formed the,",",train
"the earth , formed the floor",which,train
"earth , which the floor ,",formed,train
", which formed floor , but",the,train
"which formed the , but it",floor,train
formed the floor but it was,",",train
"the floor , it was dry",but,train
"floor , but was dry and",it,train
", but it dry and although",was,train
but it was and although the,dry,train
it was dry although the wind,and,train
was dry and the wind entered,although,train
dry and although wind entered it,the,train
and although the entered it by,wind,train
although the wind it by innumerable,entered,train
the wind entered by innumerable chinks,it,train
"wind entered it innumerable chinks ,",by,train
"entered it by chinks , i",innumerable,train
"it by innumerable , i found",chinks,train
by innumerable chinks i found it,",",train
"innumerable chinks , found it an",i,train
"chinks , i it an agreeable",found,train
", i found an agreeable asylum",it,train
i found it agreeable asylum from,an,train
found it an asylum from the,agreeable,train
it an agreeable from the snow,asylum,train
an agreeable asylum the snow and,from,train
agreeable asylum from snow and rain,the,train
asylum from the and rain .,snow,train
from the snow rain . ,and,train
the snow and . ,rain,train
snow and rain ,.,train
and rain .,,train
"here , then",,train
" , then ,",here,train
" here then , i",",",train
" here , , i retreated",then,train
"here , then i retreated and",",",train
", then , retreated and lay",i,train
"then , i and lay down",retreated,train
", i retreated lay down happy",and,train
i retreated and down happy to,lay,train
retreated and lay happy to have,down,train
and lay down to have found,happy,train
lay down happy have found a,to,train
down happy to found a shelter,have,train
"happy to have a shelter ,",found,train
"to have found shelter , however",a,train
"have found a , however miserable",shelter,train
"found a shelter however miserable ,",",",train
"a shelter , miserable , from",however,train
"shelter , however , from the",miserable,train
", however miserable from the inclemency",",",train
"however miserable , the inclemency of",from,train
"miserable , from inclemency of the",the,train
", from the of the season",inclemency,train
"from the inclemency the season ,",of,train
"the inclemency of season , and",the,train
"inclemency of the , and still",season,train
of the season and still more,",",train
"the season , still more from",and,train
"season , and more from the",still,train
", and still from the barbarity",more,train
and still more the barbarity of,from,train
still more from barbarity of man,the,train
more from the of man .,barbarity,train
from the barbarity man . ,of,train
the barbarity of . ,man,train
barbarity of man ,.,train
of man .,,train
soon as morning,as,train
as as morning dawned,soon,train
as soon morning dawned i,as,train
as soon as dawned i crept,morning,train
soon as morning i crept from,dawned,train
as morning dawned crept from my,i,train
morning dawned i from my kennel,crept,train
"dawned i crept my kennel ,",from,train
"i crept from kennel , that",my,train
"crept from my , that i",kennel,train
from my kennel that i might,",",train
"my kennel , i might view",that,train
"kennel , that might view the",i,train
", that i view the adjacent",might,train
that i might the adjacent cottage,view,train
i might view adjacent cottage and,the,train
might view the cottage and discover,adjacent,train
view the adjacent and discover if,cottage,train
the adjacent cottage discover if i,and,train
adjacent cottage and if i could,discover,train
cottage and discover i could remain,if,train
and discover if could remain in,i,train
discover if i remain in the,could,train
if i could in the habitation,remain,train
i could remain the habitation i,in,train
could remain in habitation i had,the,train
remain in the i had found,habitation,train
in the habitation had found .,i,train
the habitation i found . ,had,train
habitation i had . ,found,train
i had found ,.,train
had found .,,train
was situated against,it,train
it situated against the,was,train
it was against the back,situated,train
it was situated the back of,against,train
was situated against back of the,the,train
situated against the of the cottage,back,train
against the back the cottage and,of,train
the back of cottage and surrounded,the,train
back of the and surrounded on,cottage,train
of the cottage surrounded on the,and,train
the cottage and on the sides,surrounded,train
cottage and surrounded the sides which,on,train
and surrounded on sides which were,the,train
surrounded on the which were exposed,sides,train
on the sides were exposed by,which,train
the sides which exposed by a,were,train
sides which were by a pig,exposed,train
which were exposed a pig sty,by,train
were exposed by pig sty and,a,train
exposed by a sty and a,pig,train
by a pig and a clear,sty,train
a pig sty a clear pool,and,train
pig sty and clear pool of,a,train
sty and a pool of water,clear,train
and a clear of water .,pool,train
a clear pool water . ,of,train
clear pool of . ,water,train
pool of water ,.,train
of water .,,train
part was open,one,train
"one was open ,",part,train
"one part open , and",was,train
"one part was , and by",open,train
part was open and by that,",",train
"was open , by that i",and,train
"open , and that i had",by,train
", and by i had crept",that,train
and by that had crept in,i,train
by that i crept in but,had,train
that i had in but now,crept,train
i had crept but now i,in,train
had crept in now i covered,but,train
crept in but i covered every,now,train
in but now covered every crevice,i,train
but now i every crevice by,covered,train
now i covered crevice by which,every,train
i covered every by which i,crevice,train
covered every crevice which i might,by,train
every crevice by i might be,which,train
crevice by which might be perceived,i,train
by which i be perceived with,might,train
which i might perceived with stones,be,train
i might be with stones and,perceived,train
might be perceived stones and wood,with,train
"be perceived with and wood ,",stones,train
"perceived with stones wood , yet",and,train
"with stones and , yet in",wood,train
stones and wood yet in such,",",train
"and wood , in such a",yet,train
"wood , yet such a manner",in,train
", yet in a manner that",such,train
yet in such manner that i,a,train
in such a that i might,manner,train
such a manner i might move,that,train
a manner that might move them,i,train
manner that i move them on,might,train
that i might them on occasion,move,train
i might move on occasion to,them,train
might move them occasion to pass,on,train
move them on to pass out,occasion,train
them on occasion pass out all,to,train
on occasion to out all the,pass,train
occasion to pass all the light,out,train
to pass out the light i,all,train
pass out all light i enjoyed,the,train
out all the i enjoyed came,light,train
all the light enjoyed came through,i,train
the light i came through the,enjoyed,train
light i enjoyed through the sty,came,train
"i enjoyed came the sty ,",through,train
"enjoyed came through sty , and",the,train
"came through the , and that",sty,train
through the sty and that was,",",train
"the sty , that was sufficient",and,train
"sty , and was sufficient for",that,train
", and that sufficient for me",was,train
and that was for me .,sufficient,train
that was sufficient me . ,for,train
was sufficient for . ,me,train
sufficient for me ,.,train
for me .,,train
having thus arranged,,train
 thus arranged my,having,train
 having arranged my dwelling,thus,train
 having thus my dwelling and,arranged,train
having thus arranged dwelling and carpeted,my,train
thus arranged my and carpeted it,dwelling,train
arranged my dwelling carpeted it with,and,train
my dwelling and it with clean,carpeted,train
dwelling and carpeted with clean straw,it,train
"and carpeted it clean straw ,",with,train
"carpeted it with straw , i",clean,train
"it with clean , i retired",straw,train
"with clean straw i retired ,",",",train
"clean straw , retired , for",i,train
"straw , i , for i",retired,train
", i retired for i saw",",",train
"i retired , i saw the",for,train
"retired , for saw the figure",i,train
", for i the figure of",saw,train
for i saw figure of a,the,train
i saw the of a man,figure,train
saw the figure a man at,of,train
the figure of man at a,a,train
figure of a at a distance,man,train
"of a man a distance ,",at,train
"a man at distance , and",a,train
"man at a , and i",distance,train
at a distance and i remembered,",",train
"a distance , i remembered too",and,train
"distance , and remembered too well",i,train
", and i too well my",remembered,train
and i remembered well my treatment,too,train
i remembered too my treatment the,well,train
remembered too well treatment the night,my,train
too well my the night before,treatment,train
well my treatment night before to,the,train
my treatment the before to trust,night,train
treatment the night to trust myself,before,train
the night before trust myself in,to,train
night before to myself in his,trust,train
before to trust in his power,myself,train
to trust myself his power .,in,train
trust myself in power . ,his,train
myself in his . ,power,train
in his power ,.,train
his power .,,train
"had first ,",i,train
"i first , however",had,train
"i had , however ,",first,train
"i had first however , provided",",",train
"had first , , provided for",however,train
"first , however provided for my",",",train
", however , for my sustenance",provided,train
"however , provided my sustenance for",for,train
", provided for sustenance for that",my,train
provided for my for that day,sustenance,train
for my sustenance that day by,for,train
my sustenance for day by a,that,train
sustenance for that by a loaf,day,train
for that day a loaf of,by,train
that day by loaf of coarse,a,train
day by a of coarse bread,loaf,train
"by a loaf coarse bread ,",of,train
"a loaf of bread , which",coarse,train
"loaf of coarse , which i",bread,train
of coarse bread which i purloined,",",train
"coarse bread , i purloined ,",which,train
"bread , which purloined , and",i,train
", which i , and a",purloined,train
which i purloined and a cup,",",train
"i purloined , a cup with",and,train
"purloined , and cup with which",a,train
", and a with which i",cup,train
and a cup which i could,with,train
a cup with i could drink,which,train
cup with which could drink more,i,train
with which i drink more conveniently,could,train
which i could more conveniently than,drink,train
i could drink conveniently than from,more,train
could drink more than from my,conveniently,train
drink more conveniently from my hand,than,train
more conveniently than my hand of,from,train
conveniently than from hand of the,my,train
than from my of the pure,hand,train
from my hand the pure water,of,train
my hand of pure water which,the,train
hand of the water which flowed,pure,train
of the pure which flowed by,water,train
the pure water flowed by my,which,train
pure water which by my retreat,flowed,train
water which flowed my retreat .,by,train
which flowed by retreat . ,my,train
flowed by my . ,retreat,train
by my retreat ,.,train
my retreat .,,train
floor was a,the,train
the was a little,floor,train
the floor a little raised,was,train
"the floor was little raised ,",a,train
"floor was a raised , so",little,train
"was a little , so that",raised,train
a little raised so that it,",",train
"little raised , that it was",so,train
"raised , so it was kept",that,train
", so that was kept perfectly",it,train
so that it kept perfectly dry,was,train
"that it was perfectly dry ,",kept,train
"it was kept dry , and",perfectly,train
"was kept perfectly , and by",dry,train
kept perfectly dry and by its,",",train
"perfectly dry , by its vicinity",and,train
"dry , and its vicinity to",by,train
", and by vicinity to the",its,train
and by its to the chimney,vicinity,train
by its vicinity the chimney of,to,train
its vicinity to chimney of the,the,train
vicinity to the of the cottage,chimney,train
to the chimney the cottage it,of,train
the chimney of cottage it was,the,train
chimney of the it was tolerably,cottage,train
of the cottage was tolerably warm,it,train
the cottage it tolerably warm .,was,train
cottage it was warm . ,tolerably,train
it was tolerably . ,warm,train
was tolerably warm ,.,train
tolerably warm .,,train
being thus provided,,train
" thus provided ,",being,train
" being provided , i",thus,train
" being thus , i resolved",provided,train
being thus provided i resolved to,",",train
"thus provided , resolved to reside",i,train
"provided , i to reside in",resolved,train
", i resolved reside in this",to,train
i resolved to in this hovel,reside,train
resolved to reside this hovel until,in,train
to reside in hovel until something,this,train
reside in this until something should,hovel,train
in this hovel something should occur,until,train
this hovel until should occur which,something,train
hovel until something occur which might,should,train
until something should which might alter,occur,train
something should occur might alter my,which,train
should occur which alter my determination,might,train
occur which might my determination .,alter,train
which might alter determination . ,my,train
might alter my . ,determination,train
alter my determination ,.,train
my determination .,,train
was indeed a,it,train
it indeed a paradise,was,train
it was a paradise compared,indeed,train
it was indeed paradise compared to,a,train
was indeed a compared to the,paradise,train
indeed a paradise to the bleak,compared,train
a paradise compared the bleak forest,to,train
"paradise compared to bleak forest ,",the,train
"compared to the forest , my",bleak,train
"to the bleak , my former",forest,train
the bleak forest my former residence,",",train
"bleak forest , former residence ,",my,train
"forest , my residence , the",former,train
", my former , the rain",residence,train
my former residence the rain dropping,",",train
"former residence , rain dropping branches",the,train
"residence , the dropping branches ,",rain,train
", the rain branches , and",dropping,train
"the rain dropping , and dank",branches,train
rain dropping branches and dank earth,",",train
"dropping branches , dank earth .",and,train
"branches , and earth . ",dank,train
", and dank . ",earth,train
and dank earth ,.,train
dank earth .,,train
ate my breakfast,i,train
i my breakfast with,ate,train
i ate breakfast with pleasure,my,train
i ate my with pleasure and,breakfast,train
ate my breakfast pleasure and was,with,train
my breakfast with and was about,pleasure,train
breakfast with pleasure was about to,and,train
with pleasure and about to remove,was,train
pleasure and was to remove a,about,train
and was about remove a plank,to,train
was about to a plank to,remove,train
about to remove plank to procure,a,train
to remove a to procure myself,plank,train
remove a plank procure myself a,to,train
a plank to myself a little,procure,train
plank to procure a little water,myself,train
to procure myself little water when,a,train
procure myself a water when i,little,train
myself a little when i heard,water,train
a little water i heard a,when,train
little water when heard a step,i,train
"water when i a step ,",heard,train
"when i heard step , and",a,train
"i heard a , and looking",step,train
heard a step and looking through,",",train
"a step , looking through a",and,train
"step , and through a small",looking,train
", and looking a small chink",through,train
"and looking through small chink ,",a,train
"looking through a chink , i",small,train
"through a small , i beheld",chink,train
a small chink i beheld a,",",train
"small chink , beheld a young",i,train
"chink , i a young creature",beheld,train
", i beheld young creature ,",a,train
"i beheld a creature , with",young,train
"beheld a young , with a",creature,train
a young creature with a pail,",",train
"young creature , a pail on",with,train
"creature , with pail on her",a,train
", with a on her head",pail,train
"with a pail her head ,",on,train
"a pail on head , passing",her,train
"pail on her , passing before",head,train
on her head passing before my,",",train
"her head , before my hovel",passing,train
"head , passing my hovel .",before,train
", passing before hovel . ",my,train
passing before my . ,hovel,train
before my hovel ,.,train
my hovel .,,train
girl was young,the,train
the was young and,girl,train
the girl young and of,was,train
the girl was and of gentle,young,train
girl was young of gentle demeanour,and,train
"was young and gentle demeanour ,",of,train
"young and of demeanour , unlike",gentle,train
"and of gentle , unlike what",demeanour,train
of gentle demeanour unlike what i,",",train
"gentle demeanour , what i have",unlike,train
"demeanour , unlike i have since",what,train
", unlike what have since found",i,train
unlike what i since found cottagers,have,train
what i have found cottagers and,since,train
i have since cottagers and farmhouse,found,train
have since found and farmhouse servants,cottagers,train
since found cottagers farmhouse servants to,and,train
found cottagers and servants to be,farmhouse,train
cottagers and farmhouse to be .,servants,train
and farmhouse servants be . ,to,train
farmhouse servants to . ,be,train
servants to be ,.,train
to be .,,train
she was meanly,yet,train
yet was meanly dressed,she,train
"yet she meanly dressed ,",was,train
"yet she was dressed , a",meanly,train
"she was meanly , a coarse",dressed,train
was meanly dressed a coarse blue,",",train
"meanly dressed , coarse blue petticoat",a,train
"dressed , a blue petticoat and",coarse,train
", a coarse petticoat and a",blue,train
a coarse blue and a linen,petticoat,train
coarse blue petticoat a linen jacket,and,train
blue petticoat and linen jacket being,a,train
petticoat and a jacket being her,linen,train
and a linen being her only,jacket,train
a linen jacket her only garb,being,train
linen jacket being only garb her,her,train
jacket being her garb her fair,only,train
being her only her fair hair,garb,train
her only garb fair hair was,her,train
only garb her hair was plaited,fair,train
garb her fair was plaited but,hair,train
her fair hair plaited but not,was,train
fair hair was but not adorned,plaited,train
hair was plaited not adorned she,but,train
was plaited but adorned she looked,not,train
plaited but not she looked patient,adorned,train
but not adorned looked patient yet,she,train
not adorned she patient yet sad,looked,train
adorned she looked yet sad .,patient,train
she looked patient sad . ,yet,train
looked patient yet . ,sad,train
patient yet sad ,.,train
yet sad .,,train
lost sight of,i,train
i sight of her,lost,train
"i lost of her ,",sight,train
"i lost sight her , and",of,train
"lost sight of , and in",her,train
sight of her and in about,",",train
"of her , in about a",and,train
"her , and about a quarter",in,train
", and in a quarter of",about,train
and in about quarter of an,a,train
in about a of an hour,quarter,train
about a quarter an hour she,of,train
a quarter of hour she returned,an,train
quarter of an she returned bearing,hour,train
of an hour returned bearing the,she,train
an hour she bearing the pail,returned,train
"hour she returned the pail ,",bearing,train
"she returned bearing pail , which",the,train
"returned bearing the , which was",pail,train
bearing the pail which was now,",",train
"the pail , was now partly",which,train
"pail , which now partly filled",was,train
", which was partly filled with",now,train
which was now filled with milk,partly,train
was now partly with milk .,filled,train
now partly filled milk . ,with,train
partly filled with . ,milk,train
filled with milk ,.,train
with milk .,,train
she walked along,as,train
"as walked along ,",she,train
"as she along , seemingly",walked,train
"as she walked , seemingly incommoded",along,train
she walked along seemingly incommoded by,",",train
"walked along , incommoded by the",seemingly,train
"along , seemingly by the burden",incommoded,train
", seemingly incommoded the burden ,",by,train
"seemingly incommoded by burden , a",the,train
"incommoded by the , a young",burden,train
by the burden a young man,",",train
"the burden , young man met",a,train
"burden , a man met her",young,train
", a young met her ,",man,train
"a young man her , whose",met,train
"young man met , whose countenance",her,train
man met her whose countenance expressed,",",train
"met her , countenance expressed a",whose,train
"her , whose expressed a deeper",countenance,train
", whose countenance a deeper despondence",expressed,train
whose countenance expressed deeper despondence .,a,train
countenance expressed a despondence . ,deeper,train
expressed a deeper . ,despondence,train
a deeper despondence ,.,train
deeper despondence .,,train
a few sounds,uttering,train
uttering few sounds with,a,train
uttering a sounds with an,few,train
uttering a few with an air,sounds,train
a few sounds an air of,with,train
few sounds with air of melancholy,an,train
"sounds with an of melancholy ,",air,train
"with an air melancholy , he",of,train
"an air of , he took",melancholy,train
air of melancholy he took the,",",train
"of melancholy , took the pail",he,train
"melancholy , he the pail from",took,train
", he took pail from her",the,train
he took the from her head,pail,train
took the pail her head and,from,train
the pail from head and bore,her,train
pail from her and bore it,head,train
from her head bore it to,and,train
her head and it to the,bore,train
head and bore to the cottage,it,train
and bore it the cottage himself,to,train
bore it to cottage himself .,the,train
it to the himself . ,cottage,train
to the cottage . ,himself,train
the cottage himself ,.,train
cottage himself .,,train
"followed , and",she,train
"she , and they",followed,train
she followed and they disappeared,",",train
"she followed , they disappeared .",and,train
"followed , and disappeared . ",they,train
", and they . ",disappeared,train
and they disappeared ,.,train
they disappeared .,,train
i saw the,presently,train
presently saw the young,i,train
presently i the young man,saw,train
presently i saw young man again,the,train
"i saw the man again ,",young,train
"saw the young again , with",man,train
"the young man , with some",again,train
young man again with some tools,",",train
"man again , some tools in",with,train
"again , with tools in his",some,train
", with some in his hand",tools,train
"with some tools his hand ,",in,train
"some tools in hand , cross",his,train
"tools in his , cross the",hand,train
in his hand cross the field,",",train
"his hand , the field behind",cross,train
"hand , cross field behind the",the,train
", cross the behind the cottage",field,train
cross the field the cottage and,behind,train
the field behind cottage and the,the,train
field behind the and the girl,cottage,train
behind the cottage the girl was,and,train
the cottage and girl was also,the,train
cottage and the was also busied,girl,train
"and the girl also busied ,",was,train
"the girl was busied , sometimes",also,train
"girl was also , sometimes in",busied,train
was also busied sometimes in the,",",train
"also busied , in the house",sometimes,train
"busied , sometimes the house and",in,train
", sometimes in house and sometimes",the,train
sometimes in the and sometimes in,house,train
in the house sometimes in the,and,train
the house and in the yard,sometimes,train
house and sometimes the yard .,in,train
and sometimes in yard . ,the,train
sometimes in the . ,yard,train
in the yard ,.,train
the yard .,,train
on examining my,,train
 examining my dwelling,on,train
" on my dwelling ,",examining,train
" on examining dwelling , i",my,train
"on examining my , i found",dwelling,train
examining my dwelling i found that,",",train
"my dwelling , found that one",i,train
"dwelling , i that one of",found,train
", i found one of the",that,train
i found that of the windows,one,train
found that one the windows of,of,train
that one of windows of the,the,train
one of the of the cottage,windows,train
of the windows the cottage had,of,train
the windows of cottage had formerly,the,train
windows of the had formerly occupied,cottage,train
of the cottage formerly occupied a,had,train
the cottage had occupied a part,formerly,train
cottage had formerly a part of,occupied,train
had formerly occupied part of it,a,train
"formerly occupied a of it ,",part,train
"occupied a part it , but",of,train
"a part of , but the",it,train
part of it but the panes,",",train
"of it , the panes had",but,train
"it , but panes had been",the,train
", but the had been filled",panes,train
but the panes been filled up,had,train
the panes had filled up with,been,train
panes had been up with wood,filled,train
had been filled with wood .,up,train
been filled up wood . ,with,train
filled up with . ,wood,train
up with wood ,.,train
with wood .,,train
one of these,in,train
in of these was,one,train
in one these was a,of,train
in one of was a small,these,train
one of these a small and,was,train
of these was small and almost,a,train
these was a and almost imperceptible,small,train
was a small almost imperceptible chink,and,train
a small and imperceptible chink through,almost,train
small and almost chink through which,imperceptible,train
and almost imperceptible through which the,chink,train
almost imperceptible chink which the eye,through,train
imperceptible chink through the eye could,which,train
chink through which eye could just,the,train
through which the could just penetrate,eye,train
which the eye just penetrate .,could,train
the eye could penetrate . ,just,train
eye could just . ,penetrate,train
could just penetrate ,.,train
just penetrate .,,train
this crevice a,through,train
through crevice a small,this,train
through this a small room,crevice,train
through this crevice small room was,a,train
this crevice a room was visible,small,train
"crevice a small was visible ,",room,train
"a small room visible , whitewashed",was,train
"small room was , whitewashed and",visible,train
room was visible whitewashed and clean,",",train
"was visible , and clean but",whitewashed,train
"visible , whitewashed clean but very",and,train
", whitewashed and but very bare",clean,train
whitewashed and clean very bare of,but,train
and clean but bare of furniture,very,train
clean but very of furniture .,bare,train
but very bare furniture . ,of,train
very bare of . ,furniture,train
bare of furniture ,.,train
of furniture .,,train
"one corner ,",in,train
"in corner , near",one,train
"in one , near a",corner,train
in one corner near a small,",",train
"one corner , a small fire",near,train
"corner , near small fire ,",a,train
", near a fire , sat",small,train
"near a small , sat an",fire,train
a small fire sat an old,",",train
"small fire , an old man",sat,train
"fire , sat old man ,",an,train
", sat an man , leaning",old,train
"sat an old , leaning his",man,train
an old man leaning his head,",",train
"old man , his head on",leaning,train
"man , leaning head on his",his,train
", leaning his on his hands",head,train
leaning his head his hands in,on,train
his head on hands in a,his,train
head on his in a disconsolate,hands,train
on his hands a disconsolate attitude,in,train
his hands in disconsolate attitude .,a,train
hands in a attitude . ,disconsolate,train
in a disconsolate . ,attitude,train
a disconsolate attitude ,.,train
disconsolate attitude .,,train
young girl was,the,train
the girl was occupied,young,train
the young was occupied in,girl,train
the young girl occupied in arranging,was,train
young girl was in arranging the,occupied,train
girl was occupied arranging the cottage,in,train
was occupied in the cottage but,arranging,train
occupied in arranging cottage but presently,the,train
in arranging the but presently she,cottage,train
arranging the cottage presently she took,but,train
the cottage but she took something,presently,train
cottage but presently took something out,she,train
but presently she something out of,took,train
presently she took out of a,something,train
she took something of a drawer,out,train
"took something out a drawer ,",of,train
"something out of drawer , which",a,train
"out of a , which employed",drawer,train
of a drawer which employed her,",",train
"a drawer , employed her hands",which,train
"drawer , which her hands ,",employed,train
", which employed hands , and",her,train
"which employed her , and she",hands,train
employed her hands and she sat,",",train
"her hands , she sat down",and,train
"hands , and sat down beside",she,train
", and she down beside the",sat,train
and she sat beside the old,down,train
she sat down the old man,beside,train
"sat down beside old man ,",the,train
"down beside the man , who",old,train
"beside the old , who ,",man,train
"the old man who , taking",",",train
"old man , , taking up",who,train
"man , who taking up an",",",train
", who , up an instrument",taking,train
"who , taking an instrument ,",up,train
", taking up instrument , began",an,train
"taking up an , began to",instrument,train
up an instrument began to play,",",train
"an instrument , to play and",began,train
"instrument , began play and to",to,train
", began to and to produce",play,train
began to play to produce sounds,and,train
to play and produce sounds sweeter,to,train
play and to sounds sweeter than,produce,train
and to produce sweeter than the,sounds,train
to produce sounds than the voice,sweeter,train
produce sounds sweeter the voice of,than,train
sounds sweeter than voice of the,the,train
sweeter than the of the thrush,voice,train
than the voice the thrush or,of,train
the voice of thrush or the,the,train
voice of the or the nightingale,thrush,train
of the thrush the nightingale .,or,train
the thrush or nightingale . ,the,train
thrush or the . ,nightingale,train
or the nightingale ,.,train
the nightingale .,,train
was a lovely,it,train
it a lovely sight,was,train
"it was lovely sight ,",a,train
"it was a sight , even",lovely,train
"was a lovely , even to",sight,train
a lovely sight even to me,",",train
"lovely sight , to me ,",even,train
"sight , even me , poor",to,train
", even to , poor wretch",me,train
even to me poor wretch who,",",train
"to me , wretch who had",poor,train
"me , poor who had never",wretch,train
", poor wretch had never beheld",who,train
poor wretch who never beheld aught,had,train
wretch who had beheld aught beautiful,never,train
who had never aught beautiful before,beheld,train
had never beheld beautiful before .,aught,train
never beheld aught before . ,beautiful,train
beheld aught beautiful . ,before,train
aught beautiful before ,.,train
beautiful before .,,train
silver hair and,the,train
the hair and benevolent,silver,train
the silver and benevolent countenance,hair,train
the silver hair benevolent countenance of,and,train
silver hair and countenance of the,benevolent,train
hair and benevolent of the aged,countenance,train
and benevolent countenance the aged cottager,of,train
benevolent countenance of aged cottager won,the,train
countenance of the cottager won my,aged,train
of the aged won my reverence,cottager,train
"the aged cottager my reverence ,",won,train
"aged cottager won reverence , while",my,train
"cottager won my , while the",reverence,train
won my reverence while the gentle,",",train
"my reverence , the gentle manners",while,train
"reverence , while gentle manners of",the,train
", while the manners of the",gentle,train
while the gentle of the girl,manners,train
the gentle manners the girl enticed,of,train
gentle manners of girl enticed my,the,train
manners of the enticed my love,girl,train
of the girl my love .,enticed,train
the girl enticed love . ,my,train
girl enticed my . ,love,train
enticed my love ,.,train
my love .,,train
played a sweet,he,train
he a sweet mournful,played,train
he played sweet mournful air,a,train
he played a mournful air which,sweet,train
played a sweet air which i,mournful,train
a sweet mournful which i perceived,air,train
sweet mournful air i perceived drew,which,train
mournful air which perceived drew tears,i,train
air which i drew tears from,perceived,train
which i perceived tears from the,drew,train
i perceived drew from the eyes,tears,train
perceived drew tears the eyes of,from,train
drew tears from eyes of his,the,train
tears from the of his amiable,eyes,train
from the eyes his amiable companion,of,train
"the eyes of amiable companion ,",his,train
"eyes of his companion , of",amiable,train
"of his amiable , of which",companion,train
his amiable companion of which the,",",train
"amiable companion , which the old",of,train
"companion , of the old man",which,train
", of which old man took",the,train
of which the man took no,old,train
which the old took no notice,man,train
"the old man no notice ,",took,train
"old man took notice , until",no,train
"man took no , until she",notice,train
took no notice until she sobbed,",",train
"no notice , she sobbed audibly",until,train
"notice , until sobbed audibly he",she,train
", until she audibly he then",sobbed,train
until she sobbed he then pronounced,audibly,train
she sobbed audibly then pronounced a,he,train
sobbed audibly he pronounced a few,then,train
audibly he then a few sounds,pronounced,train
"he then pronounced few sounds ,",a,train
"then pronounced a sounds , and",few,train
"pronounced a few , and the",sounds,train
a few sounds and the fair,",",train
"few sounds , the fair creature",and,train
"sounds , and fair creature ,",the,train
", and the creature , leaving",fair,train
"and the fair , leaving her",creature,train
the fair creature leaving her work,",",train
"fair creature , her work ,",leaving,train
"creature , leaving work , knelt",her,train
", leaving her , knelt at",work,train
leaving her work knelt at his,",",train
"her work , at his feet",knelt,train
"work , knelt his feet .",at,train
", knelt at feet . ",his,train
knelt at his . ,feet,train
at his feet ,.,train
his feet .,,train
raised her and,he,train
he her and smiled,raised,train
he raised and smiled with,her,train
he raised her smiled with such,and,train
raised her and with such kindness,smiled,train
her and smiled such kindness and,with,train
and smiled with kindness and affection,such,train
smiled with such and affection that,kindness,train
with such kindness affection that i,and,train
such kindness and that i felt,affection,train
kindness and affection i felt sensations,that,train
and affection that felt sensations of,i,train
affection that i sensations of a,felt,train
that i felt of a peculiar,sensations,train
i felt sensations a peculiar and,of,train
felt sensations of peculiar and overpowering,a,train
sensations of a and overpowering nature,peculiar,train
of a peculiar overpowering nature they,and,train
a peculiar and nature they were,overpowering,train
peculiar and overpowering they were a,nature,train
and overpowering nature were a mixture,they,train
overpowering nature they a mixture of,were,train
nature they were mixture of pain,a,train
they were a of pain and,mixture,train
were a mixture pain and pleasure,of,train
"a mixture of and pleasure ,",pain,train
"mixture of pain pleasure , such",and,train
"of pain and , such as",pleasure,train
pain and pleasure such as i,",",train
"and pleasure , as i had",such,train
"pleasure , such i had never",as,train
", such as had never before",i,train
such as i never before experienced,had,train
"as i had before experienced ,",never,train
"i had never experienced , either",before,train
"had never before , either from",experienced,train
never before experienced either from hunger,",",train
"before experienced , from hunger or",either,train
"experienced , either hunger or cold",from,train
", either from or cold ,",hunger,train
"either from hunger cold , warmth",or,train
"from hunger or , warmth or",cold,train
hunger or cold warmth or food,",",train
"or cold , or food and",warmth,train
"cold , warmth food and i",or,train
", warmth or and i withdrew",food,train
warmth or food i withdrew from,and,train
or food and withdrew from the,i,train
food and i from the window,withdrew,train
"and i withdrew the window ,",from,train
"i withdrew from window , unable",the,train
"withdrew from the , unable to",window,train
from the window unable to bear,",",train
"the window , to bear these",unable,train
"window , unable bear these emotions",to,train
", unable to these emotions .",bear,train
unable to bear emotions . ,these,train
to bear these . ,emotions,train
bear these emotions ,.,train
these emotions .,,train
soon after this,,train
 after this the,soon,train
 soon this the young,after,train
 soon after the young man,this,train
soon after this young man returned,the,train
